2.000000 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [S], seq 0, win 65535, options [TS val 2000 ecr 0,wscale 2,sackOK,eol], length 0
2.100185 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [S.], seq 0, ack 1, win 65535, options [TS val 2050 ecr 2000,wscale 2,sackOK,eol], length 0
2.100185 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], ack 1, win 32768, options [TS val 2100 ecr 2050,eol], length 0
79.945158 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 681017:681553, ack 1, win 32768, options [TS val 79944 ecr 79894,eol], length 536: HTTP
79.946102 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 679945, win 32768, options [TS val 79896 ecr 79843,eol], length 0
79.946102 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 681553:682089, ack 1, win 32768, options [TS val 79946 ecr 79896,eol], length 536: HTTP
79.947046 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 682089:682625, ack 1, win 32768, options [TS val 79946 ecr 79896,eol], length 536: HTTP
79.947990 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 682625:683161, ack 1, win 32768, options [TS val 79946 ecr 79896,eol], length 536: HTTP
80.045244 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 681017, win 32768, options [TS val 79995 ecr 79845,eol], length 0
80.045244 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 683161:683697, ack 1, win 32768, options [TS val 80045 ecr 79995,eol], length 536: HTTP
80.046188 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 683697:684233, ack 1, win 32768, options [TS val 80045 ecr 79995,eol], length 536: HTTP
80.047132 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 682089, win 32768, options [TS val 79997 ecr 79944,eol], length 0
80.047132 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 684233:684769, ack 1, win 32768, options [TS val 80047 ecr 79997,eol], length 536: HTTP
80.048076 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 684769:685305, ack 1, win 32768, options [TS val 80047 ecr 79997,eol], length 536: HTTP
80.049020 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 683161, win 32768, options [TS val 79998 ecr 79946,eol], length 0
80.049020 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 685305:685841, ack 1, win 32768, options [TS val 80049 ecr 79998,eol], length 536: HTTP
80.049964 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 685841:686377, ack 1, win 32768, options [TS val 80049 ecr 79998,eol], length 536: HTTP
80.147219 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 684233, win 32768, options [TS val 80097 ecr 80045,eol], length 0
80.147219 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 686377:686913, ack 1, win 32768, options [TS val 80147 ecr 80097,eol], length 536: HTTP
80.148163 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 686913:687449, ack 1, win 32768, options [TS val 80147 ecr 80097,eol], length 536: HTTP
80.149107 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 685305, win 32768, options [TS val 80099 ecr 80047,eol], length 0
80.149107 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 687449:687985, ack 1, win 32768, options [TS val 80149 ecr 80099,eol], length 536: HTTP
80.150051 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 687985:688521, ack 1, win 32768, options [TS val 80149 ecr 80099,eol], length 536: HTTP
80.150995 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 686377, win 32768, options [TS val 80100 ecr 80049,eol], length 0
80.150995 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 688521:689057, ack 1, win 32768, options [TS val 80150 ecr 80100,eol], length 536: HTTP
80.151939 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 689057:689593, ack 1, win 32768, options [TS val 80150 ecr 80100,eol], length 536: HTTP
80.152883 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 689593:690129, ack 1, win 32768, options [TS val 80150 ecr 80100,eol], length 536: HTTP
80.249193 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 687449, win 32768, options [TS val 80199 ecr 80147,eol], length 0
80.249193 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 690129:690665, ack 1, win 32768, options [TS val 80249 ecr 80199,eol], length 536: HTTP
80.250137 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 690665:691201, ack 1, win 32768, options [TS val 80249 ecr 80199,eol], length 536: HTTP
80.251081 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 688521, win 32768, options [TS val 80200 ecr 80149,eol], length 0
80.251081 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 691201:691737, ack 1, win 32768, options [TS val 80251 ecr 80200,eol], length 536: HTTP
80.252025 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 691737:692273, ack 1, win 32768, options [TS val 80251 ecr 80200,eol], length 536: HTTP
80.253926 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 689057, win 32768, options [TS val 80203 ecr 80150,sack 1 {689593:690129}], length 0
80.253926 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 692273:692809, ack 1, win 32768, options [TS val 80253 ecr 80203,eol], length 536: HTTP
80.254870 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 692809:693345, ack 1, win 32768, options [TS val 80253 ecr 80203,eol], length 536: HTTP
80.351193 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 689057, win 32768, options [TS val 80301 ecr 80150,sack 2 {690665:691201}{689593:690129}], length 0
80.351193 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 693345:693881, ack 1, win 32768, options [TS val 80351 ecr 80301,eol], length 536: HTTP
80.352137 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 689057, win 32768, options [TS val 80302 ecr 80150,sack 2 {690665:691737}{689593:690129}], length 0
80.352137 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 689057:689593, ack 1, win 32768, options [TS val 80352 ecr 80302,eol], length 536: HTTP
80.353081 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 689057, win 32768, options [TS val 80302 ecr 80150,sack 2 {690665:692273}{689593:690129}], length 0
80.354982 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 689057, win 32768, options [TS val 80304 ecr 80150,sack 2 {690665:692809}{689593:690129}], length 0
80.355926 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 689057, win 32768, options [TS val 80305 ecr 80150,sack 2 {690665:693345}{689593:690129}], length 0
80.452249 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 689057, win 32768, options [TS val 80402 ecr 80150,sack 2 {690665:693881}{689593:690129}], length 0
80.452249 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 690129:690665, ack 1, win 32768, options [TS val 80452 ecr 80402,eol], length 536: HTTP
80.453180 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 690129, win 32768, options [TS val 80403 ecr 80352,sack 1 {690665:693881}], length 0
80.453193 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 693881:694417, ack 1, win 32768, options [TS val 80453 ecr 80403,eol], length 536: HTTP
80.553279 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 693881, win 32768, options [TS val 80503 ecr 80452,eol], length 0
80.553279 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 694417:694953, ack 1, win 32768, options [TS val 80553 ecr 80503,eol], length 536: HTTP
80.654310 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 694953, win 32768, options [TS val 80604 ecr 80453,eol], length 0
80.654310 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 694953:695489, ack 1, win 32768, options [TS val 80654 ecr 80604,eol], length 536: HTTP
80.655254 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 695489:696025, ack 1, win 32768, options [TS val 80654 ecr 80604,eol], length 536: HTTP
80.656198 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 696025:696561, ack 1, win 32768, options [TS val 80654 ecr 80604,eol], length 536: HTTP
80.756297 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 694953, win 32768, options [TS val 80706 ecr 80453,sack 1 {695489:696025}], length 0
80.756297 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 696561:697097, ack 1, win 32768, options [TS val 80756 ecr 80706,eol], length 536: HTTP
80.757241 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 694953, win 32768, options [TS val 80707 ecr 80453,sack 1 {695489:696561}], length 0
80.757241 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 697097:697633, ack 1, win 32768, options [TS val 80757 ecr 80707,eol], length 536: HTTP
80.857340 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 694953, win 32768, options [TS val 80807 ecr 80453,sack 1 {695489:697097}], length 0
80.857340 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 694953:695489, ack 1, win 32768, options [TS val 80857 ecr 80807,eol], length 536: HTTP
80.858284 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 694953, win 32768, options [TS val 80808 ecr 80453,sack 1 {695489:697633}], length 0
80.858284 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 697633:698169, ack 1, win 32768, options [TS val 80858 ecr 80808,eol], length 536: HTTP
80.958371 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 697633, win 32768, options [TS val 80908 ecr 80857,eol], length 0
80.958371 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 698169:698705, ack 1, win 32768, options [TS val 80958 ecr 80908,eol], length 536: HTTP
81.159315 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 698169, win 32768, options [TS val 81109 ecr 80858,eol], length 0
81.159315 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 698705:699241, ack 1, win 32768, options [TS val 81159 ecr 81109,eol], length 536: HTTP
81.260358 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 698169, win 32768, options [TS val 81210 ecr 80858,sack 1 {698705:699241}], length 0
81.260358 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 699241:699777, ack 1, win 32768, options [TS val 81260 ecr 81210,eol], length 536: HTTP
81.361401 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 698169, win 32768, options [TS val 81311 ecr 80858,sack 1 {698705:699777}], length 0
81.361401 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 699777:700313, ack 1, win 32768, options [TS val 81361 ecr 81311,eol], length 536: HTTP
81.462444 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 698169, win 32768, options [TS val 81412 ecr 80858,sack 1 {698705:700313}], length 0
81.462444 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 698169:698705, ack 1, win 32768, options [TS val 81462 ecr 81412,eol], length 536: HTTP
81.563475 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 700313, win 32768, options [TS val 81513 ecr 81462,eol], length 0
81.563475 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 700313:700849, ack 1, win 32768, options [TS val 81563 ecr 81513,eol], length 536: HTTP
81.564419 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 700849:701385, ack 1, win 32768, options [TS val 81563 ecr 81513,eol], length 536: HTTP
81.665449 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 701385, win 32768, options [TS val 81615 ecr 81563,eol], length 0
81.665449 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 701385:701921, ack 1, win 32768, options [TS val 81665 ecr 81615,eol], length 536: HTTP
81.666393 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 701921:702457, ack 1, win 32768, options [TS val 81665 ecr 81615,eol], length 536: HTTP
81.966479 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 701921, win 32768, options [TS val 81916 ecr 81665,eol], length 0
81.966479 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 702457:702993, ack 1, win 32768, options [TS val 81966 ecr 81916,eol], length 536: HTTP
81.967423 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 702993:703529, ack 1, win 32768, options [TS val 81966 ecr 81916,eol], length 536: HTTP
82.067523 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 701921, win 32768, options [TS val 82017 ecr 81665,sack 1 {702457:702993}], length 0
82.067523 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 703529:704065, ack 1, win 32768, options [TS val 82067 ecr 82017,eol], length 536: HTTP
82.068467 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 701921, win 32768, options [TS val 82018 ecr 81665,sack 1 {702457:703529}], length 0
82.068467 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 704065:704601, ack 1, win 32768, options [TS val 82068 ecr 82018,eol], length 536: HTTP
82.168566 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 701921, win 32768, options [TS val 82118 ecr 81665,sack 1 {702457:704065}], length 0
82.168566 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 701921:702457, ack 1, win 32768, options [TS val 82168 ecr 82118,eol], length 536: HTTP
82.169510 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 701921, win 32768, options [TS val 82119 ecr 81665,sack 1 {702457:704601}], length 0
82.169510 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 704601:705137, ack 1, win 32768, options [TS val 82169 ecr 82119,eol], length 536: HTTP
82.269596 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 704601, win 32768, options [TS val 82219 ecr 82168,eol], length 0
82.269596 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 705137:705673, ack 1, win 32768, options [TS val 82269 ecr 82219,eol], length 536: HTTP
82.370639 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 704601, win 32768, options [TS val 82320 ecr 82168,sack 1 {705137:705673}], length 0
82.370639 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 705673:706209, ack 1, win 32768, options [TS val 82370 ecr 82320,eol], length 536: HTTP
82.471683 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 704601, win 32768, options [TS val 82421 ecr 82168,sack 1 {705137:706209}], length 0
82.471683 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 706209:706745, ack 1, win 32768, options [TS val 82471 ecr 82421,eol], length 536: HTTP
82.572726 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 704601, win 32768, options [TS val 82522 ecr 82168,sack 1 {705137:706745}], length 0
82.572726 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 704601:705137, ack 1, win 32768, options [TS val 82572 ecr 82522,eol], length 536: HTTP
82.673756 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 706745, win 32768, options [TS val 82623 ecr 82572,eol], length 0
82.673756 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 706745:707281, ack 1, win 32768, options [TS val 82673 ecr 82623,eol], length 536: HTTP
82.674700 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 707281:707817, ack 1, win 32768, options [TS val 82673 ecr 82623,eol], length 536: HTTP
82.775731 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 707817, win 32768, options [TS val 82725 ecr 82673,eol], length 0
82.775731 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 707817:708353, ack 1, win 32768, options [TS val 82775 ecr 82725,eol], length 536: HTTP
82.776675 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 708353:708889, ack 1, win 32768, options [TS val 82775 ecr 82725,eol], length 536: HTTP
82.877705 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 708889, win 32768, options [TS val 82827 ecr 82775,eol], length 0
82.877705 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 708889:709425, ack 1, win 32768, options [TS val 82877 ecr 82827,eol], length 536: HTTP
82.878649 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 709425:709961, ack 1, win 32768, options [TS val 82877 ecr 82827,eol], length 536: HTTP
82.879593 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 709961:710497, ack 1, win 32768, options [TS val 82877 ecr 82827,eol], length 536: HTTP
82.979679 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 709961, win 32768, options [TS val 82929 ecr 82877,eol], length 0
82.979679 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 710497:711033, ack 1, win 32768, options [TS val 82979 ecr 82929,eol], length 536: HTTP
82.980623 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 711033:711569, ack 1, win 32768, options [TS val 82979 ecr 82929,eol], length 536: HTTP
83.080710 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 711033, win 32768, options [TS val 83030 ecr 82877,eol], length 0
83.080710 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 711569:712105, ack 1, win 32768, options [TS val 83080 ecr 83030,eol], length 536: HTTP
83.081654 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 712105:712641, ack 1, win 32768, options [TS val 83080 ecr 83030,eol], length 536: HTTP
83.181753 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 711033, win 32768, options [TS val 83131 ecr 82877,sack 1 {711569:712105}], length 0
83.181753 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 712641:713177, ack 1, win 32768, options [TS val 83181 ecr 83131,eol], length 536: HTTP
83.182697 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 711033, win 32768, options [TS val 83132 ecr 82877,sack 1 {711569:712641}], length 0
83.182697 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 713177:713713, ack 1, win 32768, options [TS val 83182 ecr 83132,eol], length 536: HTTP
83.282796 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 711033, win 32768, options [TS val 83232 ecr 82877,sack 1 {711569:713177}], length 0
83.282796 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 711033:711569, ack 1, win 32768, options [TS val 83282 ecr 83232,eol], length 536: HTTP
83.283740 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 711033, win 32768, options [TS val 83233 ecr 82877,sack 1 {711569:713713}], length 0
83.283740 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 713713:714249, ack 1, win 32768, options [TS val 83283 ecr 83233,eol], length 536: HTTP
83.383827 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 713713, win 32768, options [TS val 83333 ecr 83282,eol], length 0
83.383827 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 714249:714785, ack 1, win 32768, options [TS val 83383 ecr 83333,eol], length 536: HTTP
83.484857 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 714785, win 32768, options [TS val 83434 ecr 83283,eol], length 0
83.484857 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 714785:715321, ack 1, win 32768, options [TS val 83484 ecr 83434,eol], length 536: HTTP
83.485801 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 715321:715857, ack 1, win 32768, options [TS val 83484 ecr 83434,eol], length 536: HTTP
83.785887 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 715321, win 32768, options [TS val 83735 ecr 83484,eol], length 0
83.785887 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 715857:716393, ack 1, win 32768, options [TS val 83785 ecr 83735,eol], length 536: HTTP
83.786831 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 716393:716929, ack 1, win 32768, options [TS val 83785 ecr 83735,eol], length 536: HTTP
83.886931 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 715321, win 32768, options [TS val 83836 ecr 83484,sack 1 {715857:716393}], length 0
83.886931 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 716929:717465, ack 1, win 32768, options [TS val 83886 ecr 83836,eol], length 536: HTTP
83.887875 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 715321, win 32768, options [TS val 83837 ecr 83484,sack 1 {715857:716929}], length 0
83.887875 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 717465:718001, ack 1, win 32768, options [TS val 83887 ecr 83837,eol], length 536: HTTP
83.987974 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 715321, win 32768, options [TS val 83937 ecr 83484,sack 1 {715857:717465}], length 0
83.987974 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 715321:715857, ack 1, win 32768, options [TS val 83987 ecr 83937,eol], length 536: HTTP
83.988918 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 715321, win 32768, options [TS val 83938 ecr 83484,sack 1 {715857:718001}], length 0
83.988918 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 718001:718537, ack 1, win 32768, options [TS val 83988 ecr 83938,eol], length 536: HTTP
84.089961 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 715321, win 32768, options [TS val 84039 ecr 83484,sack 1 {715857:718537}], length 0
84.089961 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 718537:719073, ack 1, win 32768, options [TS val 84089 ecr 84039,eol], length 536: HTTP
84.191004 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 715321, win 32768, options [TS val 84140 ecr 83484,sack 1 {715857:719073}], length 0
84.191004 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 719073:719609, ack 1, win 32768, options [TS val 84191 ecr 84140,eol], length 536: HTTP
84.292047 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 715321, win 32768, options [TS val 84241 ecr 83484,sack 1 {715857:719609}], length 0
84.292047 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 719609:720145, ack 1, win 32768, options [TS val 84292 ecr 84241,eol], length 536: HTTP
84.393091 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 715321, win 32768, options [TS val 84342 ecr 83484,sack 1 {715857:720145}], length 0
84.393091 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 720145:720681, ack 1, win 32768, options [TS val 84393 ecr 84342,eol], length 536: HTTP
84.494134 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 715321, win 32768, options [TS val 84444 ecr 83484,sack 1 {715857:720681}], length 0
84.494134 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 720681:721217, ack 1, win 32768, options [TS val 84494 ecr 84444,eol], length 536: HTTP
84.595177 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 715321, win 32768, options [TS val 84545 ecr 83484,sack 1 {715857:721217}], length 0
84.595177 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 721217:721753, ack 1, win 32768, options [TS val 84595 ecr 84545,eol], length 536: HTTP
84.696220 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 715321, win 32768, options [TS val 84646 ecr 83484,sack 1 {715857:721753}], length 0
84.696220 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 721753:722289, ack 1, win 32768, options [TS val 84696 ecr 84646,eol], length 536: HTTP
84.785887 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 715321:715857, ack 1, win 32768, options [TS val 84785 ecr 84646,eol], length 536: HTTP
84.797263 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 715321, win 32768, options [TS val 84747 ecr 83484,sack 1 {715857:722289}], length 0
84.886918 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 722289, win 32768, options [TS val 84836 ecr 84785,eol], length 0
84.886918 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 722289:722825, ack 1, win 32768, options [TS val 84886 ecr 84836,eol], length 536: HTTP
85.187948 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 722825, win 32768, options [TS val 85137 ecr 84886,eol], length 0
85.187948 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 722825:723361, ack 1, win 32768, options [TS val 85187 ecr 85137,eol], length 536: HTTP
85.188892 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 723361:723897, ack 1, win 32768, options [TS val 85187 ecr 85137,eol], length 536: HTTP
85.289923 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 723897, win 32768, options [TS val 85239 ecr 85187,eol], length 0
85.289923 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 723897:724433, ack 1, win 32768, options [TS val 85289 ecr 85239,eol], length 536: HTTP
85.290867 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 724433:724969, ack 1, win 32768, options [TS val 85289 ecr 85239,eol], length 536: HTTP
85.391897 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 724969, win 32768, options [TS val 85341 ecr 85289,eol], length 0
85.391897 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 724969:725505, ack 1, win 32768, options [TS val 85391 ecr 85341,eol], length 536: HTTP
85.392841 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 725505:726041, ack 1, win 32768, options [TS val 85391 ecr 85341,eol], length 536: HTTP
85.493871 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 726041, win 32768, options [TS val 85443 ecr 85391,eol], length 0
85.493871 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 726041:726577, ack 1, win 32768, options [TS val 85493 ecr 85443,eol], length 536: HTTP
85.494815 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 726577:727113, ack 1, win 32768, options [TS val 85493 ecr 85443,eol], length 536: HTTP
85.495759 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 727113:727649, ack 1, win 32768, options [TS val 85493 ecr 85443,eol], length 536: HTTP
85.595846 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 727113, win 32768, options [TS val 85545 ecr 85493,eol], length 0
85.595846 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 727649:728185, ack 1, win 32768, options [TS val 85595 ecr 85545,eol], length 536: HTTP
85.596790 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 728185:728721, ack 1, win 32768, options [TS val 85595 ecr 85545,eol], length 536: HTTP
